age,job,marital,education,default,housing,loan,contact,month,day_of_week,campaign,pdays,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,y (yes or no)  ,probability of yes (or score)
59,retired,married,professional.course,unknown,no,no,telephone,may,mon,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,,
29,admin.,married,high.school,no,yes,no,cellular,jul,tue,1,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,,
58,retired,married,professional.course,unknown,no,no,telephone,jul,tue,8,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1,,
35,management,married,university.degree,no,yes,no,cellular,nov,fri,1,999,0,nonexistent,-0.1,93.2,-42,4.021,5195.8,,
34,technician,married,professional.course,unknown,yes,no,cellular,aug,thu,4,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,,
23,services,married,high.school,no,no,no,cellular,jul,wed,1,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,,
55,management,married,university.degree,no,no,no,cellular,aug,mon,6,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,,
29,technician,single,university.degree,no,yes,no,cellular,jun,wed,1,999,0,nonexistent,-2.9,92.963,-40.8,1.26,5076.2,,
30,blue-collar,married,basic.9y,unknown,no,no,cellular,nov,thu,1,999,0,nonexistent,-0.1,93.2,-42,4.076,5195.8,,
36,admin.,single,professional.course,no,yes,no,telephone,aug,mon,1,999,0,nonexistent,-1.7,94.027,-38.3,0.898,4991.6,,
58,unemployed,divorced,high.school,unknown,no,no,cellular,jul,fri,6,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,,
28,technician,single,basic.9y,no,yes,no,cellular,may,tue,1,999,0,nonexistent,-1.8,92.893,-46.2,1.291,5099.1,,
28,technician,married,university.degree,no,no,no,cellular,may,mon,1,999,0,nonexistent,-1.8,92.893,-46.2,1.299,5099.1,,
46,admin.,divorced,university.degree,no,no,no,telephone,may,fri,1,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191,,
36,technician,divorced,professional.course,no,yes,yes,cellular,aug,wed,1,999,0,nonexistent,1.4,93.444,-36.1,4.967,5228.1,,
55,admin.,married,basic.4y,no,yes,no,cellular,apr,fri,1,999,1,failure,-1.8,93.075,-47.1,1.405,5099.1,,
63,management,married,basic.4y,unknown,yes,no,cellular,nov,tue,4,999,2,failure,-3.4,92.649,-30.1,0.715,5017.5,,
21,student,single,basic.9y,no,yes,yes,telephone,jul,tue,1,999,0,nonexistent,-1.7,94.215,-40.3,0.797,4991.6,,
50,retired,married,basic.4y,no,yes,no,cellular,jul,wed,1,999,0,nonexistent,1.4,93.918,-42.7,4.957,5228.1,,
50,management,single,university.degree,no,yes,no,telephone,may,fri,2,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191,,
42,technician,married,high.school,no,yes,no,cellular,aug,tue,1,999,0,nonexistent,1.4,93.444,-36.1,4.968,5228.1,,
45,blue-collar,married,basic.9y,unknown,no,yes,telephone,may,wed,2,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191,,
34,technician,married,professional.course,no,yes,no,cellular,may,fri,2,999,0,nonexistent,-1.8,92.893,-46.2,1.313,5099.1,,
48,blue-collar,married,unknown,unknown,yes,yes,telephone,jun,tue,2,999,0,nonexistent,1.4,94.465,-41.8,4.961,5228.1,,
61,retired,married,basic.9y,no,no,no,cellular,apr,thu,2,999,0,nonexistent,-1.8,93.749,-34.6,0.659,5008.7,,
51,entrepreneur,married,basic.6y,unknown,no,no,cellular,jul,fri,2,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,,
31,admin.,single,university.degree,no,yes,no,cellular,jul,tue,1,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1,,
40,services,divorced,high.school,no,no,no,telephone,may,fri,1,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191,,
34,blue-collar,single,basic.6y,no,no,no,cellular,may,mon,2,999,0,nonexistent,-1.8,92.893,-46.2,1.299,5099.1,,
26,admin.,single,university.degree,no,no,no,cellular,may,tue,4,999,1,failure,-1.8,92.893,-46.2,1.266,5099.1,,
38,technician,divorced,high.school,no,no,no,telephone,nov,wed,5,999,0,nonexistent,-0.1,93.2,-42,4.12,5195.8,,
51,technician,married,basic.6y,unknown,no,no,telephone,may,mon,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,,
46,services,married,high.school,no,yes,no,telephone,jul,fri,2,999,0,nonexistent,1.4,93.918,-42.7,4.959,5228.1,,
47,unemployed,married,professional.course,no,no,no,cellular,nov,wed,1,999,0,nonexistent,-0.1,93.2,-42,4.12,5195.8,,
26,blue-collar,married,basic.9y,no,no,no,cellular,apr,thu,2,999,0,nonexistent,-1.8,93.075,-47.1,1.41,5099.1,,
51,entrepreneur,married,basic.9y,no,yes,no,telephone,may,tue,2,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191,,
41,housemaid,married,high.school,no,yes,no,telephone,may,fri,1,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191,,
41,blue-collar,married,basic.9y,no,no,no,telephone,may,wed,1,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191,,
38,admin.,divorced,high.school,no,yes,yes,telephone,may,tue,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,,
28,self-employed,married,basic.9y,no,yes,no,cellular,may,fri,5,999,0,nonexistent,-1.8,92.893,-46.2,1.25,5099.1,,
42,admin.,single,basic.9y,no,no,no,telephone,may,fri,2,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191,,
29,admin.,married,professional.course,no,yes,no,telephone,jun,wed,4,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,,
31,admin.,single,high.school,no,yes,yes,cellular,nov,fri,1,999,0,nonexistent,-0.1,93.2,-42,4.021,5195.8,,
48,blue-collar,married,basic.9y,no,yes,no,cellular,aug,thu,3,999,0,nonexistent,1.4,93.444,-36.1,4.962,5228.1,,
35,blue-collar,married,basic.9y,no,no,no,telephone,jul,mon,3,999,0,nonexistent,1.4,93.918,-42.7,4.96,5228.1,,
51,blue-collar,married,basic.4y,unknown,yes,no,cellular,jul,wed,2,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,,
38,blue-collar,married,basic.9y,unknown,yes,no,cellular,may,tue,1,999,1,failure,-1.8,92.893,-46.2,1.344,5099.1,,
38,services,single,high.school,no,yes,no,cellular,aug,thu,5,999,0,nonexistent,-2.9,92.201,-31.4,0.851,5076.2,,
29,technician,single,professional.course,no,no,no,cellular,sep,mon,3,999,2,failure,-1.1,94.199,-37.5,0.879,4963.6,,
42,blue-collar,divorced,basic.9y,no,no,no,telephone,may,wed,2,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191,,
44,blue-collar,married,basic.4y,no,yes,no,telephone,may,wed,2,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191,,
44,admin.,married,university.degree,no,yes,no,cellular,jul,tue,2,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1,,
46,technician,single,basic.9y,no,no,no,cellular,apr,thu,2,999,1,failure,-1.8,93.075,-47.1,1.435,5099.1,,
44,management,divorced,university.degree,no,yes,no,telephone,may,mon,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,,
52,entrepreneur,married,basic.9y,unknown,no,no,telephone,may,wed,4,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,,
27,services,married,professional.course,no,no,no,telephone,may,tue,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,,
35,services,married,high.school,no,yes,no,telephone,may,wed,1,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191,,
39,technician,married,professional.course,no,no,no,cellular,may,thu,8,999,0,nonexistent,-1.8,92.893,-46.2,1.327,5099.1,,
35,technician,single,professional.course,no,yes,no,cellular,jul,tue,1,6,1,success,-1.7,94.215,-40.3,0.835,4991.6,,
31,blue-collar,married,basic.9y,no,unknown,unknown,telephone,may,mon,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,,
52,housemaid,married,basic.9y,no,yes,no,cellular,jul,mon,12,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,,
46,admin.,married,university.degree,no,yes,yes,cellular,jul,wed,1,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,,
29,technician,divorced,university.degree,no,no,yes,telephone,jun,tue,2,999,0,nonexistent,1.4,94.465,-41.8,4.961,5228.1,,
52,self-employed,married,university.degree,unknown,no,no,telephone,may,fri,3,999,0,nonexistent,1.1,93.994,-36.4,4.864,5191,,
47,blue-collar,married,high.school,unknown,yes,no,telephone,jun,mon,3,999,0,nonexistent,1.4,94.465,-41.8,4.961,5228.1,,
33,admin.,married,university.degree,no,no,no,cellular,may,fri,6,999,0,nonexistent,-1.8,92.893,-46.2,1.313,5099.1,,
48,blue-collar,married,professional.course,no,yes,no,telephone,may,thu,1,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191,,
49,housemaid,married,basic.4y,no,yes,no,cellular,aug,mon,4,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,,
38,technician,married,unknown,unknown,unknown,unknown,telephone,may,wed,2,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191,,
23,student,single,basic.9y,no,yes,no,cellular,sep,thu,1,999,0,nonexistent,-1.1,94.199,-37.5,0.879,4963.6,,
52,services,divorced,high.school,no,no,no,telephone,may,mon,5,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191,,
41,technician,divorced,professional.course,no,unknown,unknown,telephone,oct,mon,1,999,0,nonexistent,-0.1,93.798,-40.4,5,5195.8,,
39,admin.,single,high.school,no,yes,no,cellular,may,wed,3,999,0,nonexistent,-1.8,92.893,-46.2,1.27,5099.1,,
43,admin.,single,university.degree,no,yes,yes,cellular,aug,wed,3,999,0,nonexistent,1.4,93.444,-36.1,4.967,5228.1,,
56,services,divorced,university.degree,no,no,no,cellular,jul,tue,3,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1,,
50,blue-collar,married,basic.9y,no,yes,no,telephone,may,tue,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,,
48,blue-collar,single,basic.4y,no,yes,no,cellular,may,tue,1,999,1,failure,-1.8,92.893,-46.2,1.291,5099.1,,
41,services,married,professional.course,no,yes,no,cellular,jul,fri,2,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,,
43,admin.,married,university.degree,no,no,yes,cellular,jun,tue,1,999,0,nonexistent,-2.9,92.963,-40.8,1.262,5076.2,,
57,blue-collar,married,basic.4y,unknown,no,no,cellular,jul,thu,1,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,,
50,blue-collar,married,basic.4y,unknown,yes,no,telephone,jul,tue,8,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1,,
37,technician,married,professional.course,no,yes,no,cellular,jul,fri,5,999,0,nonexistent,1.4,93.918,-42.7,4.957,5228.1,,
52,admin.,single,high.school,no,no,no,telephone,jul,mon,1,999,1,failure,-1.7,94.215,-40.3,0.793,4991.6,,
30,self-employed,single,university.degree,no,yes,no,cellular,apr,thu,1,999,0,nonexistent,-1.8,93.075,-47.1,1.435,5099.1,,
56,housemaid,divorced,basic.4y,unknown,no,no,telephone,may,tue,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,,
36,technician,married,professional.course,no,no,no,telephone,may,fri,1,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191,,
36,blue-collar,single,high.school,no,yes,no,telephone,jun,wed,1,999,0,nonexistent,1.4,94.465,-41.8,4.962,5228.1,,
26,admin.,single,university.degree,no,no,no,telephone,apr,fri,6,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,,
50,technician,married,basic.9y,no,no,no,cellular,nov,fri,1,999,0,nonexistent,-0.1,93.2,-42,4.021,5195.8,,
31,blue-collar,single,high.school,no,yes,yes,telephone,jun,tue,1,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,,
26,admin.,single,university.degree,no,yes,no,telephone,dec,wed,1,999,0,nonexistent,-3,92.713,-33,0.715,5023.5,,
43,entrepreneur,married,university.degree,no,no,yes,telephone,may,wed,4,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,,
27,admin.,single,professional.course,no,no,no,cellular,jul,tue,2,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,,
31,technician,divorced,university.degree,no,yes,no,cellular,aug,thu,2,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,,
41,admin.,divorced,high.school,no,yes,no,telephone,jun,tue,2,999,0,nonexistent,1.4,94.465,-41.8,4.961,5228.1,,
